@id,@type,title,description,theme
:sem_characterisation,chameo:CharacterisationProcedure,SEM characterisation,SEM characterisation workflow of cement samples,SEM
:sample_extraction,chameo:SampleExtraction,Sawing,Extraction of SEM sample from the casted sement by sawing,SEM
:sample_preparation1,chameo:SamplePreparation,Polishing,Polishing the extracted SEM sampe,SEM
:sample_inspection,chameo:SampleInspection,Optical microscopy,Sample inspection by optical microscopy,SEM
:sample_preparation2,chameo:SamplePreparation,Coating,Coating the SEM sample with carbon to make it electrical conducting,SEM
:sem_alignment,chameo:MeasurementSystemAdjustment,SEM alignment,Measurement parameter adjustment,SEM
:parameter_setup,chameo:MeasurementSystemAdjustment,SEM parameter setup,"Select high tension, detectors, apartures, etc",SEM
:beam_alignment,chameo:MeasurementSystemAdjustment,Beam alignment,Align the electron beam.,SEM
:measurement_process,chameo:CharacterisationMeasurementProcess,SEM Measurement process,Acquire BSE images and EDS maps,SEM
:bse_processing,chameo:DataProcessing,Processing of BSE image,Processing of back-scattered image,SEM
:bse_preprocessing,chameo:DataPreparation,BSE pre-processing,Filter the BSE image and adjust contrast.,SEM
:bse_postprocessing,chameo:DataPostProcessing,BSE clustering,Cluster the combined BSE image and EDS map,SEM
:eds_processing,chameo:DataProcessing,Processing of EDS map,Processing of EDS map,SEM
:eds_preprocessing,chameo:DataPreparation,EDS binning,Pre-process EDS map by binning.,SEM
:eds_postprocessing,chameo:DataPostProcessing,EDS quantification,Use EDS map to quantify chemical composition.,SEM
